title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Deep residual learning for image recognition,http://openaccess.thecvf.com/content_cvpr_2016/html/He_Deep_Residual_Learning_CVPR_2016_paper.html,Cited by 71088,"https://scholar.google.com/scholar?q=related:LrPNPdmMzoAJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",1,All 55 versions,"K He, X Zhang, S Ren, J Sun - Proceedings of the IEEE …, 2016 - openaccess.thecvf.com",Deeper neural networks are more difficult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer …
Multimodal residual learning for visual qa,https://arxiv.org/abs/1606.01455,Cited by 224,"https://scholar.google.com/scholar?q=related:tFhXwZt6ddQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",2,All 12 versions,"JH Kim, SW Lee, DH Kwak, MO Heo, J Kim… - arXiv preprint arXiv …, 2016 - arxiv.org","Deep neural networks continue to advance the state-of-the-art of image recognition tasks with various methods. However, applications of these methods to multimodality remain limited. We present Multimodal Residual Networks (MRN) for the multimodal residual  …"
Beyond a gaussian denoiser: Residual learning of deep cnn for image denoising,https://ieeexplore.ieee.org/abstract/document/7839189/,Cited by 2836,"https://scholar.google.com/scholar?q=related:UUn5DRaDbnQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",3,All 10 versions,"K Zhang, W Zuo, Y Chen, D Meng… - IEEE transactions on …, 2017 - ieeexplore.ieee.org","The discriminative model learning for image denoising has been recently attracting considerable attentions due to its favorable denoising performance. In this paper, we take one step forward by investigating the construction of feed-forward denoising convolutional …"
Deep residual learning for image steganalysis,https://link.springer.com/article/10.1007/s11042-017-4440-4,Cited by 231,"https://scholar.google.com/scholar?q=related:1N0s5BrEfPYJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",4,All 6 versions,"S Wu, S Zhong, Y Liu - Multimedia tools and applications, 2018 - Springer","Image steganalysis is to discriminate innocent images and those suspected images with hidden messages. This task is very challenging for modern adaptive steganography, since modifications due to message hiding are extremely small. Recent studies show that …"
Crest: Convolutional residual learning for visual tracking,http://openaccess.thecvf.com/content_iccv_2017/html/Song_CREST_Convolutional_Residual_ICCV_2017_paper.html,Cited by 376,"https://scholar.google.com/scholar?q=related:jVpgNy_57i8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",5,All 9 versions,"Y Song, C Ma, L Gong, J Zhang… - Proceedings of the …, 2017 - openaccess.thecvf.com","Discriminative correlation filters (DCFs) have\ryn been shown to perform superiorly in visual tracking. They\ryn only need a small set of training samples from the initial frame to generate an appearance model. However, existing DCFs learn the filters separately from feature …"
Fixup initialization: Residual learning without normalization,https://arxiv.org/abs/1901.09321,Cited by 120,"https://scholar.google.com/scholar?q=related:AW0EAJYNh48J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",6,All 5 versions,"H Zhang, YN Dauphin, T Ma - arXiv preprint arXiv:1901.09321, 2019 - arxiv.org","Normalization layers are a staple in state-of-the-art deep neural network architectures. They are widely believed to stabilize training, enable higher learning rate, accelerate convergence and improve generalization, though the reason for their effectiveness is still an …"
Cascade residual learning: A two-stage convolutional neural network for stereo matching,https://openaccess.thecvf.com/content_ICCV_2017_workshops/w17/html/Pang_Cascade_Residual_Learning_ICCV_2017_paper.html,Cited by 254,"https://scholar.google.com/scholar?q=related:S5gVi5RXF40J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",7,All 8 versions,"J Pang, W Sun, JSJ Ren, C Yang… - Proceedings of the …, 2017 - openaccess.thecvf.com","Leveraging on the recent developments in convolutional neural networks (CNNs), matching dense correspondence from a stereo pair has been cast as a learning problem, with performance exceeding traditional approaches. However, it remains challenging to generate …"
Recurrent residual learning for sequence classification,https://www.aclweb.org/anthology/D16-1093.pdf,Cited by 85,"https://scholar.google.com/scholar?q=related:0CzsW27sU9wJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",8,All 6 versions,"Y Wang, F Tian - Proceedings of the 2016 conference on empirical …, 2016 - aclweb.org","In this paper, we explore the possibility of leveraging Residual Networks (ResNet), a powerful structure in constructing extremely deep neural network for image understanding, to improve recurrent neural networks (RNN) for modeling sequential data. We show that for …"
Attention residual learning for skin lesion classification,https://ieeexplore.ieee.org/abstract/document/8620285/,Cited by 83,"https://scholar.google.com/scholar?q=related:2yUzIOctv38J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",9,All 7 versions,"J Zhang, Y Xie, Y Xia, C Shen - IEEE transactions on medical …, 2019 - ieeexplore.ieee.org",Automated skin lesion classification in dermoscopy images is an essential way to improve the diagnostic performance and reduce melanoma deaths. Although deep convolutional neural networks (DCNNs) have made dramatic breakthroughs in many image classification …
Shakedrop regularization for deep residual learning,https://ieeexplore.ieee.org/abstract/document/8936428/,Cited by 61,"https://scholar.google.com/scholar?q=related:IxD67g2gYUUJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",10,All 3 versions,"Y Yamada, M Iwamura, T Akiba, K Kise - IEEE Access, 2019 - ieeexplore.ieee.org","Overfitting is a crucial problem in deep neural networks, even in the latest network architectures. In this paper, to relieve the overfitting effect of ResNet and its improvements (ie, Wide ResNet, PyramidNet, and ResNeXt), we propose a new regularization method …"
Deep residual learning for compressed sensing CT reconstruction via persistent homology analysis,https://arxiv.org/abs/1611.06391,Cited by 134,"https://scholar.google.com/scholar?q=related:o-KcydOKHvQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",11,All 3 versions,"YS Han, J Yoo, JC Ye - arXiv preprint arXiv:1611.06391, 2016 - arxiv.org","Recently, compressed sensing (CS) computed tomography (CT) using sparse projection views has been extensively investigated to reduce the potential risk of radiation to patient. However, due to the insufficient number of projection views, an analytic reconstruction …"
Deep residual learning for compressed sensing MRI,https://ieeexplore.ieee.org/abstract/document/7950457/,Cited by 145,"https://scholar.google.com/scholar?q=related:uIN4gBfN4MwJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",12,All 3 versions,"D Lee, J Yoo, JC Ye - 2017 IEEE 14th International Symposium …, 2017 - ieeexplore.ieee.org","Compressed sensing (CS) enables significant reduction of MR acquisition time with performance guarantee. However, computational complexity of CS is usually expensive. To address this, here we propose a novel deep residual learning algorithm to reconstruct MR …"
Formresnet: Formatted residual learning for image restoration,http://openaccess.thecvf.com/content_cvpr_2017_workshops/w12/html/Jiao_FormResNet_Formatted_Residual_CVPR_2017_paper.html,Cited by 34,"https://scholar.google.com/scholar?q=related:F3t3oPZod3IJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",13,All 6 versions,"J Jiao, WC Tu, S He, RWH Lau - Proceedings of the IEEE …, 2017 - openaccess.thecvf.com","In this paper, we propose a deep CNN to tackle the image restoration problem by learning the structured residual. Previous deep learning based methods directly learn the mapping from corrupted images to clean images, and may suffer from the gradient …"
Learning spatio-temporal representation with pseudo-3d residual networks,http://openaccess.thecvf.com/content_iccv_2017/html/Qiu_Learning_Spatio-Temporal_Representation_ICCV_2017_paper.html,Cited by 715,"https://scholar.google.com/scholar?q=related:bWfLB5mEcicJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",14,All 8 versions,"Z Qiu, T Yao, T Mei - proceedings of the IEEE International …, 2017 - openaccess.thecvf.com","Abstract Convolutional Neural Networks (CNN) have been regarded as a powerful class of models for image recognition problems. Nevertheless, it is not trivial when utilizing a CNN for learning spatio-temporal video representation. A few studies have shown that performing …"
Deep residual learning for accelerated MRI using magnitude and phase networks,https://ieeexplore.ieee.org/abstract/document/8329428/,Cited by 116,"https://scholar.google.com/scholar?q=related:5EPWqOGwqA0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",15,All 8 versions,"D Lee, J Yoo, S Tak, JC Ye - IEEE Transactions on Biomedical …, 2018 - ieeexplore.ieee.org","Objective: Accelerated magnetic resonance (MR) image acquisition with compressed sensing (CS) and parallel imaging is a powerful method to reduce MR imaging scan time. However, many reconstruction algorithms have high computational costs. To address this …"
"Bridging the gaps between residual learning, recurrent neural networks and visual cortex",https://arxiv.org/abs/1604.03640,Cited by 195,"https://scholar.google.com/scholar?q=related:LEr0kVgO2JAJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",16,All 9 versions,"Q Liao, T Poggio - arXiv preprint arXiv:1604.03640, 2016 - arxiv.org","We discuss relations between Residual Networks (ResNet), Recurrent Neural Networks (RNNs) and the primate visual cortex. We begin with the observation that a shallow RNN is exactly equivalent to a very deep ResNet with weight sharing among the layers. A direct …"
Deep residual learning-based fault diagnosis method for rotating machinery,https://www.sciencedirect.com/science/article/pii/S0019057818305202,Cited by 72,"https://scholar.google.com/scholar?q=related:Ci5003QIvykJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",17,All 4 versions,"W Zhang, X Li, Q Ding - ISA transactions, 2019 - Elsevier","Effective fault diagnosis of rotating machinery has always been an important issue in real industries. In the recent years, data-driven fault diagnosis methods such as neural networks have been receiving increasing attention due to their great merits of high diagnosis accuracy …"
Medical image denoising using convolutional neural network: a residual learning approach,https://link.springer.com/article/10.1007/s11227-017-2080-0,Cited by 70,"https://scholar.google.com/scholar?q=related:AdyR5M53h1QJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",18,All 3 versions,"W Jifara, F Jiang, S Rho, M Cheng, S Liu - The Journal of Supercomputing, 2019 - Springer","In medical imaging, denoising is very important for analysis of images, diagnosis and treatment of diseases. Currently, image denoising methods based on deep learning are effective, where the methods are however limited for the requirement of training sample size …"
Deep edge guided recurrent residual learning for image super-resolution,https://ieeexplore.ieee.org/abstract/document/8030140/,Cited by 116,"https://scholar.google.com/scholar?q=related:xIV5Q-O4moAJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",19,All 8 versions,"W Yang, J Feng, J Yang, F Zhao, J Liu… - … on Image Processing, 2017 - ieeexplore.ieee.org","In this paper, we consider the image super-resolution (SR) problem. The main challenge of image SR is to recover high-frequency details of a low-resolution (LR) image that are important for human perception. To address this essentially ill-posed problem, we introduce …"
Video person re-identification by temporal residual learning,https://ieeexplore.ieee.org/abstract/document/8513884/,Cited by 52,"https://scholar.google.com/scholar?q=related:jtPxdhbhZ50J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",20,All 6 versions,"J Dai, P Zhang, D Wang, H Lu… - IEEE Transactions on …, 2018 - ieeexplore.ieee.org","In this paper, we propose a novel feature learning framework for video person re-identification (re-ID). The proposed framework largely aims to exploit the adequate temporal information of video sequences and tackle the poor spatial alignment of moving pedestrians …"
Residual learning for salient object detection,https://ieeexplore.ieee.org/abstract/document/9018384/,Cited by 5,"https://scholar.google.com/scholar?q=related:xqyx0FTKvFEJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",21,All 5 versions,"M Feng, H Lu, Y Yu - IEEE Transactions on Image Processing, 2020 - ieeexplore.ieee.org","Recent deep learning based salient object detection methods improve the performance by introducing multi-scale strategies into fully convolutional neural networks (FCNs). The final result is obtained by integrating all the predictions at each scale. However, the existing multi …"
Pest identification via deep residual learning in complex background,https://www.sciencedirect.com/science/article/pii/S0168169917304854,Cited by 97,"https://scholar.google.com/scholar?q=related:W1T8qu34Of4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",22,All 5 versions,"X Cheng, Y Zhang, Y Chen, Y Wu, Y Yue - Computers and Electronics in …, 2017 - Elsevier","Agricultural pests severely affect both agricultural production and the storage of crops. To prevent damage caused by agricultural pests, the pest category needs to be correctly identified and targeted control measures need to be taken; therefore, it is important to …"
Prior-attention residual learning for more discriminative COVID-19 screening in CT images,https://ieeexplore.ieee.org/abstract/document/9094362/,Cited by 30,"https://scholar.google.com/scholar?q=related:edbyFOxei4gJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",23,All 5 versions,"J Wang, Y Bao, Y Wen, H Lu, H Luo… - … on Medical Imaging, 2020 - ieeexplore.ieee.org",We propose a conceptually simple framework for fast COVID-19 screening in 3D chest CT images. The framework can efficiently predict whether or not a CT scan contains pneumonia while simultaneously identifying pneumonia types between COVID-19 and Interstitial Lung …
Deep Residual Learning for Image Compression.,http://openaccess.thecvf.com/content_CVPRW_2019/papers/CLIC%202019/Cheng_Deep_Residual_Learning_for_Image_Compression_CVPRW_2019_paper.pdf,Cited by 15,"https://scholar.google.com/scholar?q=related:BZskQOx54u0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",24,All 4 versions,"Z Cheng, H Sun, M Takeuchi, J Katto - CVPR Workshops, 2019 - openaccess.thecvf.com","In this paper, we provide a detailed description on our approach designed for CVPR 2019 Workshop and Challenge on Learned Image Compression (CLIC). Our approach mainly consists of two proposals, ie deep residual learning for image compression and sub-pixel …"
Hierarchical features driven residual learning for depth map super-resolution,https://ieeexplore.ieee.org/abstract/document/8579111/,Cited by 56,"https://scholar.google.com/scholar?q=related:9seL-LRu20cJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",25,All 7 versions,"C Guo, C Li, J Guo, R Cong, H Fu… - IEEE Transactions on …, 2018 - ieeexplore.ieee.org","Rapid development of affordable and portable consumer depth cameras facilitates the use of depth information in many computer vision tasks such as intelligent vehicles and 3D reconstruction. However, depth map captured by low-cost depth sensors (eg, Kinect) usually …"
